total_price_excluding_optional_support,max_unit_price,avg_unit_price,min_unit_price,students_reached,posted_month,posted_dayofweek,total_quantity,primary_focus_subject,unique_items,primary_focus_area,school_metro,grade_level,resource_type,poverty_level,school_charter_t,school_magnet_t,label
255.56,113.99,40.46,17.09,22,9,0,5.0,Literacy,5,Literacy & Language,rural,Grades PreK-2,Technology,moderate poverty,False,False,1
451.45,249.0,38.77444444,1.0,23,1,6,31.0,Literacy,9,Literacy & Language,urban,Grades PreK-2,Other,highest poverty,False,False,1
333.21,179.0,58.76,24.95,26,2,1,5.0,Mathematics,5,Math & Science,suburban,Grades PreK-2,Supplies,highest poverty,False,False,1
434.02,61.55,30.27333333,9.99,67,1,0,12.0,Literacy,5,Literacy & Language,urban,Grades 6-8,Other,highest poverty,False,True,1
594.0,486.64,486.64,486.64,180,4,2,1.0,Literature & Writing,1,Literacy & Language,rural,Grades 6-8,Technology,highest poverty,False,False,0
338.48,299.0,299.0,299.0,60,9,0,1.0,Music,1,Music & The Arts,suburban,Grades 6-8,Supplies,highest poverty,False,False,1
456.7,46.79,21.20428571,1.0,30,1,6,75.0,Character Education,7,Health & Sports,urban,Grades 6-8,Other,highest poverty,False,False,1
894.0,664.05,370.08,76.11,260,11,2,2.0,Health & Life Science,2,Math & Science,urban,Grades 6-8,Technology,highest poverty,False,False,1
266.0,138.54,105.265,71.99,27,4,2,2.0,Visual Arts,2,Music & The Arts,urban,Grades 6-8,Supplies,highest poverty,False,False,1
2828.29,99.99,47.15,12.99,120,10,5,50.0,Music,4,Music & The Arts,urban,Grades 9-12,Supplies,highest poverty,True,False,1
853.97,289.99,266.6566667,249.0,30,9,0,3.0,Special Needs,3,Special Needs,urban,Grades 6-8,Technology,highest poverty,False,False,0
452.38,249.0,66.235,1.0,23,1,0,18.0,Literacy,4,Literacy & Language,urban,Grades PreK-2,Other,highest poverty,False,False,1
457.0,20.65,12.4575,2.87,80,3,4,45.0,Mathematics,4,Math & Science,urban,Grades 6-8,Supplies,highest poverty,False,False,1
306.0,6.97,6.97,6.97,70,7,6,35.0,Literacy,1,Literacy & Language,urban,Grades 6-8,Other,highest poverty,False,False,1
259.65,33.24,17.18416667,4.26,20,3,5,14.0,Literacy,12,Literacy & Language,suburban,Grades PreK-2,Supplies,moderate poverty,False,False,1
815.01,760.99,760.99,760.99,120,8,2,1.0,History & Geography,1,History & Civics,urban,Grades 6-8,Technology,highest poverty,True,False,1
214.96,5.91,5.91,5.91,26,2,6,30.0,Literature & Writing,1,Literacy & Language,urban,Grades 6-8,Other,highest poverty,False,False,1
511.04,469.0,469.0,469.0,50,9,0,1.0,History & Geography,1,History & Civics,suburban,Grades PreK-2,Other,highest poverty,False,True,0
323.54,14.46,14.46,14.46,34,9,6,20.0,Literature & Writing,1,Literacy & Language,rural,Grades 6-8,Other,highest poverty,False,False,1
461.13,59.95,35.79333333,1.0,30,1,1,44.0,Special Needs,6,Special Needs,urban,Grades 6-8,Other,highest poverty,False,False,1
172.02,99.0,67.5,36.0,26,12,1,2.0,Literacy,2,Literacy & Language,urban,Grades PreK-2,Other,highest poverty,False,False,1
417.73,25.0,11.73333333,5.1,105,8,2,71.0,Literature & Writing,3,Literacy & Language,urban,Grades 6-8,Other,moderate poverty,False,False,1
253.0,115.65,33.24666667,4.32,20,4,4,6.0,Literacy,6,Literacy & Language,urban,Grades PreK-2,Other,highest poverty,False,False,1
143.83,53.09,53.09,53.09,100,2,6,2.0,Music,1,Music & The Arts,rural,Grades 9-12,Technology,highest poverty,False,False,1
489.0,2.69,2.69,2.69,400,3,6,148.0,Mathematics,1,Math & Science,suburban,Grades 6-8,Supplies,moderate poverty,False,False,0
353.41,28.0,12.993,7.15,150,8,2,23.0,Literacy,20,Literacy & Language,urban,Grades 9-12,Other,highest poverty,False,False,1
351.48,199.99,149.99,99.99,200,4,6,2.0,Foreign Languages,2,Literacy & Language,rural,Grades 9-12,Technology,highest poverty,False,False,1
145.6,64.18,51.835,39.49,60,10,6,2.0,Mathematics,2,Math & Science,rural,Grades 6-8,Technology,moderate poverty,False,False,1
188.0,7.19,5.356666667,3.59,28,4,6,27.0,Literacy,27,Literacy & Language,urban,Grades PreK-2,Other,highest poverty,False,False,0
385.05,11.66,11.66,11.66,160,10,3,30.0,Literacy,1,Literacy & Language,urban,Grades 9-12,Other,highest poverty,False,False,1
481.0,83.58,27.03857143,1.99,30,4,5,58.0,Visual Arts,7,Music & The Arts,urban,Grades PreK-2,Supplies,highest poverty,False,False,0
711.88,329.99,329.99,329.99,20,4,5,2.0,Special Needs,1,Special Needs,rural,Grades 6-8,Technology,moderate poverty,False,False,1
470.13,99.0,51.25,24.95,18,12,6,8.0,Literature & Writing,7,Literacy & Language,rural,Grades 6-8,Supplies,highest poverty,False,False,0
537.55,198.62,41.26,5.14,18,9,6,12.0,Literacy,12,Literacy & Language,urban,Grades PreK-2,Other,moderate poverty,True,False,1
437.57,38.99,7.465714286,1.13,50,8,2,74.0,Literature & Writing,21,Literacy & Language,suburban,Grades 6-8,Other,highest poverty,False,False,1
545.19,37.5,19.14666667,3.99,100,4,2,33.0,History & Geography,3,History & Civics,urban,Grades 6-8,Supplies,highest poverty,True,False,1
438.41,366.29,366.29,366.29,95,8,5,1.0,Literacy,1,Literacy & Language,urban,Grades 6-8,Technology,highest poverty,True,False,1
469.83,56.99,11.42642857,0.42,66,6,0,90.0,Character Education,14,Math & Science,urban,Grades 9-12,Supplies,highest poverty,False,True,1
335.47,78.62,29.20833333,0.93,450,12,6,54.0,Visual Arts,6,Music & The Arts,suburban,Grades 6-8,Supplies,highest poverty,True,False,1
412.38,179.99,179.99,179.99,630,4,2,2.0,Literacy,1,Literacy & Language,suburban,Grades 6-8,Technology,highest poverty,False,False,0
4233.27,3135.13,1797.56,459.99,5,2,6,2.0,Special Needs,2,Special Needs,rural,Grades 9-12,Technology,highest poverty,False,False,0
208.94,47.49,22.92571429,9.49,8,11,5,7.0,Special Needs,7,Special Needs,urban,Grades 6-8,Other,highest poverty,False,True,1
280.54,7.26,7.26,7.26,130,12,3,34.0,History & Geography,1,History & Civics,urban,Grades 9-12,Other,highest poverty,False,False,1
547.0,149.0,39.39857143,7.49,29,1,1,21.0,Literacy,7,Literacy & Language,urban,Grades PreK-2,Supplies,highest poverty,False,False,1
363.62,136.95,20.43666667,1.5,80,11,0,66.0,Character Education,9,Math & Science,urban,Grades 6-8,Supplies,highest poverty,True,False,1
616.6,10.9,9.55,8.2,125,9,3,60.0,Literacy,2,Literacy & Language,urban,Grades 9-12,Other,highest poverty,True,False,0
258.33,31.19,11.55533333,2.29,200,4,3,24.0,Literature & Writing,15,Literacy & Language,urban,Grades 9-12,Supplies,highest poverty,False,False,0
494.0,314.98,201.135,87.29,60,3,6,2.0,College & Career Prep,2,Health & Sports,urban,Grades 9-12,Technology,highest poverty,False,False,1
539.46,179.0,165.6666667,159.0,75,4,5,3.0,Literacy,3,Literacy & Language,urban,Grades PreK-2,Other,highest poverty,True,False,1
169.8,29.88,22.80833333,12.42,100,12,1,6.0,Mathematics,6,Math & Science,suburban,Grades 6-8,Supplies,moderate poverty,False,False,0
216.42,48.1,11.17125,4.4,20,1,4,16.0,Literacy,16,Literacy & Language,urban,Grades PreK-2,Other,highest poverty,False,True,1
1438.96,349.99,249.99,149.99,30,1,0,4.0,Literacy,2,Literacy & Language,urban,Grades 6-8,Technology,highest poverty,False,False,0
375.06,339.96,339.96,339.96,350,10,1,1.0,Music,1,Music & The Arts,urban,Grades PreK-2,Supplies,highest poverty,False,False,1
331.18,229.99,139.99,49.99,30,8,1,2.0,Special Needs,2,Special Needs,rural,Grades 6-8,Technology,moderate poverty,False,False,0
457.24,0.0,0.0,0.0,45,4,0,0.0,Special Needs,0,Special Needs,urban,Grades 6-8,Trips,highest poverty,False,False,1
244.99,199.99,199.99,199.99,175,7,3,1.0,Music,1,Music & The Arts,suburban,Grades 6-8,Technology,moderate poverty,False,False,1
244.99,199.99,199.99,199.99,75,10,0,1.0,Literacy,1,Literacy & Language,rural,Grades PreK-2,Technology,moderate poverty,False,False,1
135.72,59.95,41.95,23.95,40,4,0,3.0,Gym & Fitness,2,Health & Sports,suburban,Grades PreK-2,Supplies,highest poverty,True,False,1
385.87,62.31,49.38285714,20.16,26,9,2,7.0,Literacy,7,Literacy & Language,rural,Grades 6-8,Other,highest poverty,False,False,1
1507.47,999.99,351.66,3.89,400,9,5,4.0,Music,3,Music & The Arts,urban,Grades 6-8,Other,highest poverty,False,False,0
404.03,53.45,44.05,35.95,450,5,3,8.0,Health & Wellness,3,Health & Sports,urban,Grades 6-8,Supplies,highest poverty,True,False,1
318.74,49.95,36.80714286,10.95,258,3,0,9.0,Literacy,7,Literacy & Language,suburban,Grades 6-8,Supplies,highest poverty,False,False,1
361.0,147.15,58.02,17.95,32,2,6,5.0,Special Needs,5,Special Needs,urban,Grades 9-12,Supplies,highest poverty,False,False,1
